"genus","length","age","environment","n"
"Porites",36,"Last Interglacial","Reef slope",1422
"Porites",27,"Last Interglacial","Reef slope",1422
"Acropora",20,"Last Interglacial","Reef slope",302
"Pavona",14,"Last Interglacial","Reef slope",36
"Acropora",11,"Last Interglacial","Reef slope",302
"Galaxea",14,"Last Interglacial","Reef slope",274
"Porites",7,"Last Interglacial","Reef slope",1422
"Porites",52,"Last Interglacial","Reef slope",1422
"Favites",11,"Last Interglacial","Reef slope",116
"Porites",18,"Last Interglacial","Reef slope",1422
"Porites",30,"Last Interglacial","Reef slope",1422
"Dipsastraea",5,"Last Interglacial","Reef slope",92
"Goniastrea",12,"Last Interglacial","Reef slope",338
"Porites",60,"Last Interglacial","Reef slope",1422
"Porites",12,"Last Interglacial","Reef slope",1422
"Goniastrea",3,"Last Interglacial","Reef slope",338
"Porites",41,"Last Interglacial","Reef slope",1422
"Acropora",27,"Last Interglacial","Reef slope",302
"Goniastrea",20,"Last Interglacial","Reef slope",338
"Porites",27,"Last Interglacial","Reef slope",1422
"Porites",4,"Last Interglacial","Reef slope",1422
"Goniastrea",8,"Last Interglacial","Reef slope",338
"Goniastrea",4,"Last Interglacial","Reef slope",338
"Porites",13,"Last Interglacial","Reef slope",1422
"Galaxea",12,"Last Interglacial","Reef slope",274
"Echinopora",19,"Last Interglacial","Reef slope",276
"Porites",10,"Last Interglacial","Reef slope",1422
"Porites",19,"Last Interglacial","Reef slope",1422
"Favites",28,"Last Interglacial","Reef slope",116
"Acropora",33,"Last Interglacial","Reef slope",302
"Porites",63,"Last Interglacial","Reef slope",1422
"Dipsastraea",7,"Last Interglacial","Reef slope",92
"Porites",23,"Last Interglacial","Reef slope",1422
"Dipsastraea",9,"Last Interglacial","Reef slope",92
"Porites",3,"Last Interglacial","Reef slope",1422
"Porites",11,"Last Interglacial","Reef slope",1422
"Favites",76,"Last Interglacial","Reef slope",116
"Echinopora",12,"Last Interglacial","Reef slope",276
"Porites",4,"Last Interglacial","Reef slope",1422
"Porites",23,"Last Interglacial","Reef slope",1422
"Dipsastraea",8,"Last Interglacial","Reef slope",92
"Porites",44,"Last Interglacial","Reef slope",1422
"Goniastrea",9,"Last Interglacial","Reef slope",338
"Porites",49,"Last Interglacial","Reef slope",1422
"Goniastrea",17,"Last Interglacial","Reef slope",338
"Goniastrea",6,"Last Interglacial","Reef slope",338
"Goniastrea",18,"Last Interglacial","Reef slope",338
"Platygyra",13,"Last Interglacial","Reef slope",142
"Galaxea",10,"Last Interglacial","Reef slope",274
"Goniastrea",22,"Last Interglacial","Reef slope",338
"Goniastrea",23,"Last Interglacial","Reef slope",338
"Cyphastrea",8,"Last Interglacial","Reef slope",76
"Goniastrea",5,"Last Interglacial","Reef slope",338
"Goniastrea",9,"Last Interglacial","Reef slope",338
"Goniastrea",9,"Last Interglacial","Reef slope",338
"Porites",11,"Last Interglacial","Reef slope",1422
"Goniastrea",5,"Last Interglacial","Reef slope",338
"Goniastrea",58,"Last Interglacial","Reef slope",338
"Goniastrea",19,"Last Interglacial","Reef slope",338
"Favites",12,"Last Interglacial","Reef slope",116
"Acropora",17,"Last Interglacial","Reef slope",302
"Goniastrea",12,"Last Interglacial","Reef slope",338
"Porites",10,"Last Interglacial","Reef slope",1422
"Goniastrea",20,"Last Interglacial","Reef slope",338
"Porites",6,"Last Interglacial","Reef slope",1422
"Porites",17,"Last Interglacial","Reef slope",1422
"Acropora",22,"Last Interglacial","Reef slope",302
"Porites",28,"Last Interglacial","Reef slope",1422
"Echinopora",15,"Last Interglacial","Reef slope",276
"Galaxea",4,"Last Interglacial","Reef slope",274
"Porites",6,"Last Interglacial","Reef slope",1422
"Acropora",9,"Last Interglacial","Reef slope",302
"Echinopora",16,"Last Interglacial","Reef slope",276
"Porites",15,"Last Interglacial","Reef slope",1422
"Porites",48,"Last Interglacial","Reef slope",1422
"Porites",17,"Last Interglacial","Reef slope",1422
"Galaxea",3,"Last Interglacial","Reef slope",274
"Porites",9,"Last Interglacial","Reef slope",1422
"Echinopora",26,"Last Interglacial","Reef slope",276
"Fungia",5,"Last Interglacial","Reef slope",34
"Porites",25,"Last Interglacial","Reef slope",1422
"Platygyra",7,"Last Interglacial","Reef slope",142
"Acropora",10,"Last Interglacial","Reef slope",302
"Porites",39,"Last Interglacial","Reef slope",1422
"Platygyra",7,"Last Interglacial","Reef slope",142
"Echinopora",30,"Last Interglacial","Reef slope",276
"Porites",50,"Last Interglacial","Reef slope",1422
"Platygyra",4,"Last Interglacial","Reef slope",142
"Favites",9,"Last Interglacial","Reef slope",116
"Pavona",10,"Last Interglacial","Reef slope",36
"Porites",47,"Last Interglacial","Reef slope",1422
"Porites",3,"Last Interglacial","Reef slope",1422
"Porites",8,"Last Interglacial","Reef slope",1422
"Porites",44,"Last Interglacial","Reef slope",1422
"Dipsastraea",21,"Last Interglacial","Reef slope",92
"Porites",20,"Last Interglacial","Reef slope",1422
"Goniastrea",23,"Last Interglacial","Reef slope",338
"Platygyra",12,"Last Interglacial","Reef slope",142
"Porites",75,"Last Interglacial","Reef slope",1422
"Acropora",13,"Last Interglacial","Reef slope",302
"Fungia",7,"Last Interglacial","Reef slope",34
"Porites",39,"Last Interglacial","Reef slope",1422
"Galaxea",9,"Last Interglacial","Reef slope",274
"Pavona",5,"Last Interglacial","Reef slope",36
"Porites",17,"Last Interglacial","Reef slope",1422
"Porites",24,"Last Interglacial","Reef slope",1422
"Porites",19,"Last Interglacial","Reef slope",1422
"Galaxea",5,"Last Interglacial","Reef slope",274
"Echinopora",4,"Last Interglacial","Reef slope",276
"Porites",13,"Last Interglacial","Reef slope",1422
"Porites",9,"Last Interglacial","Reef slope",1422
"Porites",16,"Last Interglacial","Reef slope",1422
"Echinopora",6,"Last Interglacial","Reef slope",276
"Porites",21,"Last Interglacial","Reef slope",1422
"Galaxea",6,"Last Interglacial","Reef slope",274
"Porites",19,"Last Interglacial","Reef slope",1422
"Echinopora",3,"Last Interglacial","Reef slope",276
"Porites",12,"Last Interglacial","Reef slope",1422
"Fungia",2,"Last Interglacial","Reef slope",34
"Fungia",2,"Last Interglacial","Reef slope",34
"Echinopora",12,"Last Interglacial","Reef slope",276
"Galaxea",9,"Last Interglacial","Reef slope",274
"Porites",13,"Last Interglacial","Reef slope",1422
"Goniastrea",35,"Last Interglacial","Reef slope",338
"Porites",5,"Last Interglacial","Reef slope",1422
"Lobophyllia",5,"Last Interglacial","Reef slope",62
"Goniastrea",43,"Last Interglacial","Reef slope",338
"Porites",5,"Last Interglacial","Reef slope",1422
"Dipsastraea",6,"Last Interglacial","Reef slope",92
"Cyphastrea",9,"Last Interglacial","Reef slope",76
"Porites",31,"Last Interglacial","Reef slope",1422
"Echinopora",11,"Last Interglacial","Reef slope",276
"Porites",30,"Last Interglacial","Reef slope",1422
"Goniastrea",8,"Last Interglacial","Reef slope",338
"Echinopora",43,"Last Interglacial","Reef slope",276
"Lobophyllia",6,"Last Interglacial","Reef slope",62
"Porites",60,"Last Interglacial","Reef slope",1422
"Porites",119,"Last Interglacial","Reef slope",1422
"Dipsastraea",30,"Last Interglacial","Reef slope",92
"Porites",30,"Last Interglacial","Reef slope",1422
"Acropora",14,"Last Interglacial","Reef slope",302
"Echinopora",9,"Last Interglacial","Reef slope",276
"Porites",25,"Last Interglacial","Reef slope",1422
"Fungia",2,"Last Interglacial","Reef slope",34
"Goniastrea",36,"Last Interglacial","Reef slope",338
"Porites",9,"Last Interglacial","Reef slope",1422
"Porites",11,"Last Interglacial","Reef slope",1422
"Acropora",9,"Last Interglacial","Reef slope",302
"Porites",3,"Last Interglacial","Reef slope",1422
"Pocillopora",23,"Last Interglacial","Reef slope",340
"Porites",5,"Last Interglacial","Reef slope",1422
"Porites",23,"Last Interglacial","Reef slope",1422
"Porites",8,"Last Interglacial","Reef slope",1422
"Galaxea",13,"Last Interglacial","Reef slope",274
"Porites",33,"Last Interglacial","Reef slope",1422
"Porites",4,"Last Interglacial","Reef slope",1422
"Porites",4,"Last Interglacial","Reef slope",1422
"Goniastrea",4,"Last Interglacial","Reef slope",338
"Porites",4,"Last Interglacial","Reef slope",1422
"Echinopora",4,"Last Interglacial","Reef slope",276
"Pocillopora",11,"Last Interglacial","Reef slope",340
"Acropora",11,"Last Interglacial","Reef slope",302
"Pocillopora",6,"Last Interglacial","Reef slope",340
"Pavona",10,"Last Interglacial","Reef slope",36
"Pavona",66,"Last Interglacial","Reef slope",36
"Favites",5,"Last Interglacial","Reef slope",116
"Pocillopora",7,"Last Interglacial","Reef slope",340
"Porites",7,"Last Interglacial","Reef slope",1422
"Porites",3,"Last Interglacial","Reef slope",1422
"Dipsastraea",9,"Last Interglacial","Reef slope",92
"Goniastrea",7,"Last Interglacial","Reef slope",338
"Porites",10,"Last Interglacial","Reef slope",1422
"Porites",6,"Last Interglacial","Reef slope",1422
"Echinopora",3,"Last Interglacial","Reef slope",276
"Cyphastrea",13,"Last Interglacial","Reef slope",76
"Echinopora",20,"Last Interglacial","Reef slope",276
"Goniastrea",6,"Last Interglacial","Reef slope",338
"Pocillopora",16,"Last Interglacial","Reef slope",340
"Cyphastrea",9,"Last Interglacial","Reef slope",76
"Pavona",11,"Last Interglacial","Reef slope",36
"Dipsastraea",16,"Last Interglacial","Reef slope",92
"Porites",11,"Last Interglacial","Reef slope",1422
"Galaxea",6,"Last Interglacial","Reef slope",274
"Goniastrea",3,"Last Interglacial","Reef slope",338
"Goniastrea",23,"Last Interglacial","Reef slope",338
"Galaxea",17,"Last Interglacial","Reef slope",274
"Pocillopora",25,"Last Interglacial","Reef slope",340
"Pocillopora",7,"Last Interglacial","Reef slope",340
"Goniastrea",10,"Last Interglacial","Reef slope",338
"Porites",9,"Last Interglacial","Reef slope",1422
"Pocillopora",21,"Last Interglacial","Reef slope",340
"Acropora",11,"Last Interglacial","Reef slope",302
"Galaxea",18,"Last Interglacial","Reef slope",274
"Galaxea",7,"Last Interglacial","Reef slope",274
"Goniastrea",6,"Last Interglacial","Reef slope",338
"Favites",8,"Last Interglacial","Reef slope",116
"Galaxea",7,"Last Interglacial","Reef slope",274
"Acropora",8,"Last Interglacial","Reef slope",302
"Acropora",17,"Last Interglacial","Reef slope",302
"Acropora",9,"Last Interglacial","Reef slope",302
"Pocillopora",18,"Last Interglacial","Reef slope",340
"Porites",6,"Last Interglacial","Reef slope",1422
"Pavona",3,"Last Interglacial","Reef slope",36
"Porites",11,"Last Interglacial","Reef slope",1422
"Echinopora",4,"Last Interglacial","Reef slope",276
"Porites",13,"Last Interglacial","Reef slope",1422
"Galaxea",10,"Last Interglacial","Reef slope",274
"Pocillopora",11,"Last Interglacial","Reef slope",340
"Galaxea",9,"Last Interglacial","Reef slope",274
"Porites",23,"Last Interglacial","Reef slope",1422
"Goniastrea",206,"Last Interglacial","Reef slope",338
"Favites",10,"Last Interglacial","Reef slope",116
"Acropora",18,"Last Interglacial","Reef slope",302
"Acropora",7,"Last Interglacial","Reef slope",302
"Porites",10,"Last Interglacial","Reef slope",1422
"Acropora",5,"Last Interglacial","Reef slope",302
"Lobophyllia",23,"Last Interglacial","Reef slope",62
"Acropora",11,"Last Interglacial","Reef slope",302
"Favites",17,"Last Interglacial","Reef slope",116
"Platygyra",5,"Last Interglacial","Reef slope",142
"Platygyra",14,"Last Interglacial","Reef slope",142
"Pocillopora",14,"Last Interglacial","Reef slope",340
"Dipsastraea",7,"Last Interglacial","Reef slope",92
"Acropora",14,"Last Interglacial","Reef slope",302
"Galaxea",10,"Last Interglacial","Reef slope",274
"Goniastrea",5,"Last Interglacial","Reef slope",338
"Porites",6,"Last Interglacial","Reef slope",1422
"Pocillopora",10,"Last Interglacial","Reef slope",340
"Porites",7,"Last Interglacial","Reef slope",1422
"Porites",13,"Last Interglacial","Reef slope",1422
"Pocillopora",7,"Last Interglacial","Reef slope",340
"Cyphastrea",4,"Last Interglacial","Reef slope",76
"Porites",19,"Last Interglacial","Reef slope",1422
"Pocillopora",9,"Last Interglacial","Reef slope",340
"Porites",7,"Last Interglacial","Reef slope",1422
"Cyphastrea",4,"Last Interglacial","Reef slope",76
"Porites",6,"Last Interglacial","Reef slope",1422
"Goniastrea",24,"Last Interglacial","Reef slope",338
"Porites",10,"Last Interglacial","Reef slope",1422
"Porites",4,"Last Interglacial","Reef slope",1422
"Galaxea",8,"Last Interglacial","Reef slope",274
"Porites",37,"Last Interglacial","Reef slope",1422
"Acropora",11,"Last Interglacial","Reef slope",302
"Porites",11,"Last Interglacial","Reef slope",1422
"Cyphastrea",4,"Last Interglacial","Reef slope",76
"Galaxea",12,"Last Interglacial","Reef slope",274
"Porites",13,"Last Interglacial","Reef slope",1422
"Pocillopora",8,"Last Interglacial","Reef slope",340
"Goniastrea",61,"Last Interglacial","Reef slope",338
"Galaxea",12,"Last Interglacial","Reef slope",274
"Goniastrea",6,"Last Interglacial","Reef slope",338
"Porites",7,"Last Interglacial","Reef slope",1422
"Pocillopora",32,"Last Interglacial","Reef slope",340
"Porites",3,"Last Interglacial","Reef slope",1422
"Acropora",18,"Last Interglacial","Reef slope",302
"Fungia",6,"Last Interglacial","Reef slope",34
"Goniastrea",24,"Last Interglacial","Reef slope",338
"Pocillopora",22,"Last Interglacial","Reef slope",340
"Dipsastraea",14,"Last Interglacial","Reef slope",92
"Pocillopora",7,"Last Interglacial","Reef slope",340
"Porites",3,"Last Interglacial","Reef slope",1422
"Porites",8,"Last Interglacial","Reef slope",1422
"Pavona",31,"Last Interglacial","Reef slope",36
"Pocillopora",10,"Last Interglacial","Reef slope",340
"Galaxea",9,"Last Interglacial","Reef slope",274
"Cyphastrea",25,"Last Interglacial","Reef slope",76
"Pocillopora",20,"Last Interglacial","Reef slope",340
"Acropora",20,"Last Interglacial","Reef slope",302
"Pocillopora",16,"Last Interglacial","Reef slope",340
"Porites",5,"Last Interglacial","Reef slope",1422
"Platygyra",5,"Last Interglacial","Reef slope",142
"Fungia",1,"Last Interglacial","Reef slope",34
"Echinopora",8,"Last Interglacial","Reef slope",276
"Porites",10,"Last Interglacial","Reef slope",1422
"Dipsastraea",62,"Last Interglacial","Reef slope",92
"Porites",31,"Last Interglacial","Reef slope",1422
"Porites",2,"Last Interglacial","Reef slope",1422
"Pocillopora",7,"Last Interglacial","Reef slope",340
"Porites",4,"Last Interglacial","Reef slope",1422
"Goniastrea",28,"Last Interglacial","Reef slope",338
"Porites",12,"Last Interglacial","Reef slope",1422
"Porites",6,"Last Interglacial","Reef slope",1422
"Goniastrea",15,"Last Interglacial","Reef slope",338
"Porites",321,"Last Interglacial","Reef slope",1422
"Pocillopora",8,"Last Interglacial","Reef slope",340
"Dipsastraea",13,"Last Interglacial","Reef slope",92
"Porites",18,"Last Interglacial","Reef slope",1422
"Porites",5,"Last Interglacial","Reef slope",1422
"Acropora",13,"Last Interglacial","Reef slope",302
"Porites",8,"Last Interglacial","Reef slope",1422
"Porites",40,"Last Interglacial","Reef slope",1422
"Galaxea",7,"Last Interglacial","Reef slope",274
"Goniastrea",8,"Last Interglacial","Reef slope",338
"Cyphastrea",2,"Last Interglacial","Reef slope",76
"Platygyra",5,"Last Interglacial","Reef slope",142
"Montipora",22,"Last Interglacial","Reef slope",32
"Acropora",12,"Last Interglacial","Reef slope",302
"Pocillopora",9,"Last Interglacial","Reef slope",340
"Montipora",10,"Last Interglacial","Reef slope",32
"Pocillopora",18,"Last Interglacial","Reef slope",340
"Porites",6,"Last Interglacial","Reef slope",1422
"Pocillopora",19,"Last Interglacial","Reef slope",340
"Porites",5,"Last Interglacial","Reef slope",1422
"Pavona",3,"Last Interglacial","Reef slope",36
"Porites",3,"Last Interglacial","Reef slope",1422
"Pocillopora",4,"Last Interglacial","Reef slope",340
"Porites",7,"Last Interglacial","Reef slope",1422
"Porites",10,"Last Interglacial","Reef slope",1422
"Pocillopora",16,"Last Interglacial","Reef slope",340
"Pavona",37,"Last Interglacial","Reef slope",36
"Echinopora",5,"Last Interglacial","Reef slope",276
"Pocillopora",21,"Last Interglacial","Reef slope",340
"Acropora",8,"Last Interglacial","Reef slope",302
"Montipora",19,"Last Interglacial","Reef slope",32
"Acropora",21,"Last Interglacial","Reef slope",302
"Goniastrea",11,"Last Interglacial","Reef slope",338
"Montipora",21,"Last Interglacial","Reef slope",32
"Acropora",5,"Last Interglacial","Reef slope",302
"Pocillopora",8,"Last Interglacial","Reef slope",340
"Platygyra",17,"Last Interglacial","Reef slope",142
"Pocillopora",7,"Last Interglacial","Reef slope",340
"Echinopora",14,"Last Interglacial","Reef slope",276
"Acropora",18,"Last Interglacial","Reef slope",302
"Echinopora",47,"Last Interglacial","Reef slope",276
"Galaxea",10,"Last Interglacial","Reef slope",274
"Hydnophora",28,"Last Interglacial","Reef slope",22
"Hydnophora",12,"Last Interglacial","Reef slope",22
"Porites",15,"Last Interglacial","Reef slope",1422
"Porites",21,"Last Interglacial","Reef slope",1422
"Galaxea",42,"Last Interglacial","Reef slope",274
"Platygyra",15,"Last Interglacial","Reef slope",142
"Fungia",3,"Last Interglacial","Reef slope",34
"Echinopora",52,"Last Interglacial","Reef slope",276
"Galaxea",25,"Last Interglacial","Reef slope",274
"Porites",13,"Last Interglacial","Reef slope",1422
"Porites",18,"Last Interglacial","Reef slope",1422
"Echinopora",7,"Last Interglacial","Reef slope",276
"Dipsastraea",15,"Last Interglacial","Reef slope",92
"Echinopora",37,"Last Interglacial","Reef slope",276
"Platygyra",20,"Last Interglacial","Reef slope",142
"Favites",33,"Last Interglacial","Reef slope",116
"Lobophyllia",25,"Last Interglacial","Reef slope",62
"Pocillopora",14,"Last Interglacial","Reef slope",340
"Porites",14,"Last Interglacial","Reef slope",1422
"Lobophyllia",51,"Last Interglacial","Reef slope",62
"Galaxea",15,"Last Interglacial","Reef slope",274
"Lobophyllia",28,"Last Interglacial","Reef slope",62
"Echinopora",28,"Last Interglacial","Reef slope",276
"Galaxea",18,"Last Interglacial","Reef slope",274
"Galaxea",20,"Last Interglacial","Reef slope",274
"Galaxea",18,"Last Interglacial","Reef slope",274
"Porites",9,"Last Interglacial","Reef slope",1422
"Galaxea",34,"Last Interglacial","Reef slope",274
"Galaxea",10,"Last Interglacial","Reef slope",274
"Lobophyllia",41,"Last Interglacial","Reef slope",62
"Pocillopora",21,"Last Interglacial","Reef slope",340
"Porites",9,"Last Interglacial","Reef slope",1422
"Goniastrea",20,"Last Interglacial","Reef slope",338
"Montipora",35,"Last Interglacial","Reef slope",32
"Goniastrea",13,"Last Interglacial","Reef slope",338
"Goniastrea",26,"Last Interglacial","Reef slope",338
"Porites",11,"Last Interglacial","Reef slope",1422
"Goniastrea",21,"Last Interglacial","Reef slope",338
"Porites",18,"Last Interglacial","Reef slope",1422
"Goniastrea",244,"Last Interglacial","Reef slope",338
"Goniastrea",255,"Last Interglacial","Reef slope",338
"Acropora",15,"Last Interglacial","Reef slope",302
"Porites",45,"Last Interglacial","Reef slope",1422
"Pocillopora",4,"Last Interglacial","Reef slope",340
"Porites",13,"Last Interglacial","Reef slope",1422
"Goniastrea",16,"Last Interglacial","Reef slope",338
"Porites",9,"Last Interglacial","Reef slope",1422
"Galaxea",12,"Last Interglacial","Reef slope",274
"Galaxea",19,"Last Interglacial","Reef slope",274
"Porites",19,"Last Interglacial","Reef slope",1422
"Platygyra",22,"Last Interglacial","Reef slope",142
"Galaxea",20,"Last Interglacial","Reef slope",274
"Echinopora",83,"Last Interglacial","Reef slope",276
"Acropora",7,"Last Interglacial","Reef slope",302
"Echinopora",27,"Last Interglacial","Reef slope",276
"Porites",28,"Last Interglacial","Reef slope",1422
"Porites",20,"Last Interglacial","Reef slope",1422
"Goniastrea",57,"Last Interglacial","Reef slope",338
"Favites",36,"Last Interglacial","Reef slope",116
"Acropora",8,"Last Interglacial","Reef slope",302
"Echinopora",49,"Last Interglacial","Reef slope",276
"Galaxea",38,"Last Interglacial","Reef slope",274
"Galaxea",64,"Last Interglacial","Reef slope",274
"Acropora",10,"Last Interglacial","Reef slope",302
"Porites",140,"Last Interglacial","Reef slope",1422
"Porites",35,"Last Interglacial","Reef slope",1422
"Lobophyllia",63,"Last Interglacial","Reef slope",62
"Pocillopora",121,"Last Interglacial","Reef slope",340
"Lobophyllia",56,"Last Interglacial","Reef slope",62
"Favites",16,"Last Interglacial","Reef slope",116
"Montipora",11,"Last Interglacial","Reef slope",32
"Porites",23,"Last Interglacial","Reef slope",1422
"Porites",36,"Last Interglacial","Reef slope",1422
"Echinopora",37,"Last Interglacial","Reef slope",276
"Pocillopora",25,"Last Interglacial","Reef slope",340
"Pocillopora",11,"Last Interglacial","Reef slope",340
"Lobophyllia",20,"Last Interglacial","Reef slope",62
"Lobophyllia",17,"Last Interglacial","Reef slope",62
"Echinopora",24,"Last Interglacial","Reef slope",276
"Platygyra",101,"Last Interglacial","Reef slope",142
"Galaxea",77,"Last Interglacial","Reef slope",274
"Porites",93,"Last Interglacial","Reef slope",1422
"Dipsastraea",42,"Last Interglacial","Reef slope",92
"Porites",8,"Last Interglacial","Reef slope",1422
"Acropora",13,"Last Interglacial","Reef slope",302
"Pocillopora",17,"Last Interglacial","Reef slope",340
"Echinopora",14,"Last Interglacial","Reef slope",276
"Pocillopora",13,"Last Interglacial","Reef slope",340
"Echinopora",37,"Last Interglacial","Reef slope",276
"Echinopora",32,"Last Interglacial","Reef slope",276
"Porites",8,"Last Interglacial","Reef slope",1422
"Echinopora",18,"Last Interglacial","Reef slope",276
"Galaxea",8,"Last Interglacial","Reef slope",274
"Acropora",9,"Last Interglacial","Reef slope",302
"Dipsastraea",15,"Last Interglacial","Reef slope",92
"Porites",4,"Last Interglacial","Reef slope",1422
"Acropora",8,"Last Interglacial","Reef slope",302
"Porites",75,"Last Interglacial","Reef slope",1422
"Lobophyllia",46,"Last Interglacial","Reef slope",62
"Galaxea",26,"Last Interglacial","Reef slope",274
"Lobophyllia",84,"Last Interglacial","Reef slope",62
"Lobophyllia",31,"Last Interglacial","Reef slope",62
"Lobophyllia",41,"Last Interglacial","Reef slope",62
"Dipsastraea",44,"Last Interglacial","Reef slope",92
"Galaxea",19,"Last Interglacial","Reef slope",274
"Pocillopora",15,"Last Interglacial","Reef slope",340
"Lobophyllia",47,"Last Interglacial","Reef slope",62
"Goniastrea",19,"Last Interglacial","Reef slope",338
"Goniastrea",19,"Last Interglacial","Reef slope",338
"Galaxea",5,"Last Interglacial","Reef slope",274
"Cyphastrea",10,"Last Interglacial","Reef slope",76
"Pocillopora",13,"Last Interglacial","Reef slope",340
"Goniastrea",5,"Last Interglacial","Reef slope",338
"Fungia",8,"Last Interglacial","Reef slope",34
"Favites",22,"Last Interglacial","Reef slope",116
"Galaxea",11,"Last Interglacial","Reef slope",274
"Galaxea",23,"Last Interglacial","Reef slope",274
"Galaxea",18,"Last Interglacial","Reef slope",274
"Platygyra",53,"Last Interglacial","Reef slope",142
"Pocillopora",25,"Last Interglacial","Reef slope",340
"Echinopora",14,"Last Interglacial","Reef slope",276
"Echinopora",12,"Last Interglacial","Reef slope",276
"Echinopora",25,"Last Interglacial","Reef slope",276
"Pocillopora",45,"Last Interglacial","Reef slope",340
"Hydnophora",25,"Last Interglacial","Reef slope",22
"Porites",10,"Last Interglacial","Reef slope",1422
"Pocillopora",45,"Last Interglacial","Reef slope",340
"Pocillopora",31,"Last Interglacial","Reef slope",340
"Goniastrea",6,"Last Interglacial","Reef slope",338
"Goniastrea",10,"Last Interglacial","Reef slope",338
"Pocillopora",18,"Last Interglacial","Reef slope",340
"Echinopora",52,"Last Interglacial","Reef slope",276
"Acropora",6,"Last Interglacial","Reef slope",302
"Lobophyllia",12,"Last Interglacial","Reef slope",62
"Lobophyllia",25,"Last Interglacial","Reef slope",62
"Pocillopora",10,"Last Interglacial","Reef slope",340
"Lobophyllia",30,"Last Interglacial","Reef slope",62
"Dipsastraea",54,"Last Interglacial","Reef slope",92
"Porites",6,"Last Interglacial","Reef slope",1422
"Echinopora",16,"Last Interglacial","Reef slope",276
"Galaxea",80,"Last Interglacial","Reef slope",274
"Dipsastraea",42,"Last Interglacial","Reef slope",92
"Montipora",43,"Last Interglacial","Reef slope",32
"Dipsastraea",39,"Last Interglacial","Reef slope",92
"Galaxea",25,"Last Interglacial","Reef slope",274
"Porites",8,"Last Interglacial","Reef slope",1422
"Dipsastraea",30,"Last Interglacial","Reef slope",92
"Goniastrea",54,"Last Interglacial","Reef slope",338
"Porites",18,"Last Interglacial","Reef slope",1422
"Goniastrea",45,"Last Interglacial","Reef slope",338
"Goniastrea",33,"Last Interglacial","Reef slope",338
"Porites",19,"Last Interglacial","Reef slope",1422
"Goniastrea",166,"Last Interglacial","Reef slope",338
"Pocillopora",23,"Last Interglacial","Reef slope",340
"Porites",36,"Last Interglacial","Reef slope",1422
"Goniastrea",43,"Last Interglacial","Reef slope",338
"Goniastrea",11,"Last Interglacial","Reef slope",338
"Porites",22,"Last Interglacial","Reef slope",1422
"Pocillopora",15,"Last Interglacial","Reef slope",340
"Echinopora",20,"Last Interglacial","Reef slope",276
"Acropora",5,"Last Interglacial","Reef slope",302
"Echinopora",28,"Last Interglacial","Reef slope",276
"Goniastrea",11,"Last Interglacial","Reef slope",338
"Galaxea",45,"Last Interglacial","Reef slope",274
"Galaxea",14,"Last Interglacial","Reef slope",274
"Echinopora",23,"Last Interglacial","Reef slope",276
"Galaxea",31,"Last Interglacial","Reef slope",274
"Platygyra",31,"Last Interglacial","Reef slope",142
"Galaxea",23,"Last Interglacial","Reef slope",274
"Pocillopora",21,"Last Interglacial","Reef slope",340
"Echinopora",36,"Last Interglacial","Reef slope",276
"Lobophyllia",66,"Last Interglacial","Reef slope",62
"Pocillopora",30,"Last Interglacial","Reef slope",340
"Goniastrea",35,"Last Interglacial","Reef slope",338
"Pocillopora",13,"Last Interglacial","Reef slope",340
"Pocillopora",17,"Last Interglacial","Reef slope",340
"Echinopora",42,"Last Interglacial","Reef slope",276
"Galaxea",10,"Last Interglacial","Reef slope",274
"Leptoria",17,"Last Interglacial","Reef slope",36
"Porites",23,"Last Interglacial","Reef slope",1422
"Galaxea",13,"Last Interglacial","Reef slope",274
"Porites",10,"Last Interglacial","Reef slope",1422
"Goniastrea",9,"Last Interglacial","Reef slope",338
"Cyphastrea",18,"Last Interglacial","Reef slope",76
"Porites",33,"Last Interglacial","Reef slope",1422
"Goniastrea",13,"Last Interglacial","Reef slope",338
"Porites",15,"Last Interglacial","Reef slope",1422
"Goniastrea",23,"Last Interglacial","Reef slope",338
"Galaxea",7,"Last Interglacial","Reef slope",274
"Porites",52,"Last Interglacial","Reef slope",1422
"Goniastrea",7,"Last Interglacial","Reef slope",338
"Porites",6,"Last Interglacial","Reef slope",1422
"Goniastrea",58,"Last Interglacial","Reef slope",338
"Porites",3,"Last Interglacial","Reef slope",1422
"Goniastrea",17,"Last Interglacial","Reef slope",338
"Porites",85,"Last Interglacial","Reef slope",1422
"Goniastrea",18,"Last Interglacial","Reef slope",338
"Echinopora",9,"Last Interglacial","Reef slope",276
"Goniastrea",20,"Last Interglacial","Reef slope",338
"Goniastrea",15,"Last Interglacial","Reef slope",338
"Goniastrea",20,"Last Interglacial","Reef slope",338
"Echinopora",8,"Last Interglacial","Reef slope",276
"Goniastrea",17,"Last Interglacial","Reef slope",338
"Goniastrea",15,"Last Interglacial","Reef slope",338
"Goniastrea",18,"Last Interglacial","Reef slope",338
"Goniastrea",7,"Last Interglacial","Reef slope",338
"Goniastrea",16,"Last Interglacial","Reef slope",338
"Porites",32,"Last Interglacial","Reef slope",1422
"Goniastrea",8,"Last Interglacial","Reef slope",338
"Echinopora",17,"Last Interglacial","Reef slope",276
"Favites",9,"Last Interglacial","Reef slope",116
"Porites",115,"Last Interglacial","Reef slope",1422
"Echinopora",15,"Last Interglacial","Reef slope",276
